available_bike_stands,temperature,apparent_temperature,relative_humidity,rain
11,7.8,3.6,74.0,1.1
8,7.8,3.6,74.0,1.1
14,7.8,3.6,74.0,1.1
17,7.8,3.6,74.0,1.1
16,7.8,3.6,74.0,1.1
14,7.8,3.6,74.0,1.1
14,7.8,3.6,74.0,1.1
4,7.8,3.6,74.0,1.1
20,7.8,3.6,74.0,1.1
9,7.8,3.6,74.0,1.1
10,7.8,3.6,74.0,1.1
9,7.8,3.6,74.0,1.1
12,7.8,3.6,74.0,1.1
8,7.8,3.6,74.0,1.1
6,7.8,3.6,74.0,1.1
10,7.8,3.6,74.0,1.1
5,7.8,3.6,74.0,1.1
5,7.8,3.6,74.0,1.1
20,7.8,3.6,74.0,1.1
8,7.8,3.6,74.0,1.1
14,7.8,3.6,74.0,1.1
10,7.8,3.6,74.0,1.1
12,7.8,3.6,74.0,1.1
13,7.8,3.6,74.0,1.1
2,7.8,3.6,74.0,1.1
8,7.8,3.6,74.0,1.1
8,7.8,3.6,74.0,1.1
16,7.8,3.6,74.0,1.1
